Parent Category Name	Category Name 	Link	Employee Company	Title	Level	Type	Min Salary	Max Salary	Is Dealable	City/Province	District	Exact Address	Roles	Requirements	Additional Info	Phone	Fax	Ad Added Date
Автомашины засвар үйлчилгээ	Дугуй засвар, Угаалга	https://www.zangia.mn/job/_v10hlg45zv	Стандарт тайр ХХК	Дугуй засварчин	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,000,000	1,200,000	Тохиролцоно	Улаанбаатар хот	 Сүхбаатар дүүрэг	Монгол улс, Улаанбаатар хот, Баянгол дүүрэг, Нарны зам, Энхтайвны гүүрний баруун талд Standard Tire	Стандарт Тайр ХХК-ны дугуй засварын бүх төрлийн үйлчилгээг хийнэ	20-40 насны, эрэгтэй Харилцааны соёлтой Техник сэтгэлгээтэй	Ажлын гүйцэтгэлээс хамаараад нэмэлт цалин урамшуулалтай	75333232	None	2022-04-06 18:36
Автомашины засвар үйлчилгээ	Автын цахилгаанчин	https://www.zangia.mn/job/_bk3jqflvtr	Баялаг Энержи Ресурс ХХК	АВТЫН ЦАХИЛГААНЧИН /ШИНЭ ТӨГСӨГЧ/	Дунд шатны удирдлага	None	1,200,000	1,500,000		Өмнөговь аймаг		Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, СБД, 1-р хороо Олимпийн гудамж, 9-р байр, 4 давхар	Техник тоног төхөөрөмжийн цахилгааны гэмтлийг оношилж, засварлах; АБТ дахь чиг үүргүүд;	Автын цахилгаанчин чиглэлээр их дээд сургууль төгссөн; Цахилгааны схем унших чадвартай; Мэргэжлээрээ уул уурхайн салбарт тогтвор суурьшилтай ажиллах хүсэл сонирхолтой;	Багаар ажиллах чадвартай, харилцааны соёлтой Зөв хандлага, төлөвшилтэй байх Шинээр төгссөн оюутан байж болно Жилийн 4 улирал ажилдаг нүүрсний уурхайд 14/14 ээлжээр ажиллах	95958511	None	2022-04-04 15:09
Автомашины засвар үйлчилгээ	Автын цахилгаанчин	https://www.zangia.mn/job/_xfwh2l5c+v	Монбейкери ХХК	ЭЛЕКТРОНИК ЗАСВАРЧИН	Мэргэжилтэн	Бүтэн цагийн	1,000,000	1,200,000		Улаанбаатар хот	 Баянгол дүүрэг	Монгол улс, Улаанбаатар хот, Баянгол дүүрэг, 7-р хороо Монбейкери ХХК	Үйлдвэр цехийн тоног төхөөрөмжийн электрон засвар хийх Үйлдвэрийн тоног төхөөрөмжийг электроник талын хэвийн ажиллагааг хангах, урьдчилан сэргийлэх Цахилгаан болон тоног төхөөрөмж /хөөлгөгч, мөсний машин, хөргөгч, зуурагч машин, шарах шүүгээ/-ийн электроник талыг хариуцан ажиллах Шаардлагатай схем унших, чип болон анхан шатны цахилгаан хэрэгсэлийг тохиргоо хийх, засварлах Тоног төхөөрөмжийн засвар үйлчилгээний түүхийг хөтлөх	Электрон, инженер, засварчин чиглэлээр их сургууль болон МСҮТөв төгссөн Электроник засварын чиглэлээр 1-с дээш жилийн туршлагатай Засвар үйлчилгээний үнэмлэхтэй бол давуу талтай Электрон төхөөрмжүүдийн талаар мэдлэгтэй, техник сэтгэлгээ сайтай Цахилгааны гэмтэл, засварыг өөрийн хэмжээнд хийх боломжтой бол давуу талтай болно Ажлын хариуцлагатай, эерэг хандлагатай, багаар ажиллах чадвартай 45 хүртэлх насны, хорт зуршилгүй, эрэгтэй	Хаяг: БГД 7-р хороо /Модны 2-ын зам. Гэмтэл талруугаа замын урд Монбейкери нэрийн дэлгүүр. Утас: 99088046 Салбар, чиглэл: Манай компани нь талх, нарийн боов хүнсний чиглэлийн анхдагч компани бөгөөд бид таныг БАЙНГИЙН ТОГТВОРТОЙ ажлын байранд таныг УРЬЖ байна. Давуу талууд: Унаа, хоол, илүү цагийн мөнгө, нэмэлт урамшууллыг сар бүр тооцон олгоно. Бүрдүүлэх материал: 1% цээж зураг Мэргэжлийн үнэмлэх/дипломны хуулбар	75759090, 94999200	None	2022-04-06 12:42
Автомашины засвар үйлчилгээ	Автын цахилгаанчин	https://www.zangia.mn/job/_gn8gincs0s	Ти Ти Си энд Ти ХХК	Автын цахилгаанчин /Хөдөө  ажиллах/	Мэргэжилтэн	Ээлжийн	1,800,000	2,100,000		Дорноговь аймаг		Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 15-р хороо, Их Монгол Улсын Гудамж, Моннис Бюлдинг, 5 давхарт	Тээврийн хэрэгслийн цахилгааны гэмтлийг цаг тухайд нь зөв тодорхойлох, засварлах, техникийн бэлэн байдлыг бүрэн хангах	1. Автын цахилгаанчин мэргэжилтэй 2. Мэргэжлээрээ 3-с доошгүй жил ажилласан ажлын туршлагатай 3. Норд Бенз маркийн автомашины цахилгааны засвар хийж байсан туршлагатай 4. Засвар үйлчилгээ хийх үеийн аюулгүй ажиллагааны мэдлэг, зөв дадалтай 5. Техник сэтгэлгээ сайтай 6. Жолооны В аниглалын үнэмлэхтэй 7. Хөдөө орон нутагт ээлжийн зохицуулалтаар ажиллах боломжтой	Их дээд сургууль, коллежийн диплом гэрчилгээ/ хуулбарын хамт Мэргэшүүлэх курс дамжааны үнэмлэх/ хуулбарын хамт Дэлгэрэнгүй намтар/CV resume Ажилд орохыг хүссэн өргөдөл/ cover letter Иргэний үнэмлэх/ хуулбарын хамт Жолооны үнэмлэх/ хуулбарын хамт 1-2% цээж зураг Өмнөх ажлын газрын тодорхойлолт Ажлаас чөлөөлөгдсөн тушаал/ хуулбарын хамт	None	None	2022-04-06 09:27
Автомашины засвар үйлчилгээ	Автын цахилгаанчин	https://www.zangia.mn/job/_irqm6c+6vg	Говьхангайн Хөдөлмөр ХХК	Автын цахилгаанчин	Мэргэжилтэн	Ээлжийн	1,800,000	2,100,000		Өмнөговь аймаг		Монгол улс, Өмнөговь аймаг, Цогтцэций сум, 3-р баг, Цагаан -Овоо, 2-р өргөтгөлийн насосын зүүн талд, ажилчдын хотхон, 106 тооот	-Уурхайд ашиглагдаж байгаа хөдөлгөөнт авто машин, механизм, суурин тоног төхөөрөмж, зөөврийн гэрэлтүүлэг бусад цахилгаан эх үүсгүүртэй техникийг хариуцах засварлах -Авто машины механизм, суурин тоног төхөөрөмжийн гидро цахилгаан системийн схем зургийг уншиж ойлгох, засварлах-Хариуцсан техник, тоног төхөөрөмжийн аюулгүй ажиллах байдлыг хангах	-Бүрэн дунд болон түүнээс дээш боловсролтой -Уул уурхайн тоног төхөөрөмж, авто машин механизмийн цахилгаан, засвар үйлчилгээний талаархи мэргэжлийн үнэмлэхтэй -2 болон түүнээс дээш жил ил уурхайн хүнд машин механизм, авто машин тоног төхөөрөмж дээр ажиллаж байсан туршлагатай байх	-Техник сэтгэлгээтэй, ачаалал даах чадвартай байх-Машин, техникийн цахилгааны эвдрэл гэмтлийг зөв оношлох, засварлах чадвартай байх-Хүнд машин механизмийн цахилгааны гэмтлийг зөв тодорхойлж засварлаж байсан байх-Суурин тоног төхөөрөмж, гэрэлтүүлэг, генераторын цахилгаан засварын мэдлэгтэй байх-Засварын багаж тоног төхөөрөмж дээр ажиллах чадвартай байх-Албан бичиг баримт боловсруулах, өдөр бүрийн ажлын гүйцэтгэлийг гаргах танилцуулах чадвартай байх-Өмнөговь аймагт Цагаанхад-д ээлжийн зохицуулалтаар ажиллах боломжтой байх	80433311, 80463311, 80471177	None	2022-03-27 14:29
Автомашины засвар үйлчилгээ	Автын цахилгаанчин	https://www.zangia.mn/job/_537g0vxo0d	Монбейкери ХХК	ЭЛЕКТРОНИК ЗАСВАРЧИН	Мэргэжилтэн	Бүтэн цагийн	800,000	1,000,000		Улаанбаатар хот	 Баянгол дүүрэг	Монгол улс, Улаанбаатар хот, Баянгол дүүрэг, 7-р хороо Монбейкери ХХК	Үйлдвэр цехийн тоног төхөөрөмжийн электрон засвар хийх Тэдгээрийн электроник талын хэвийн ажиллагааг хангах, урьдчилан сэргийлэх Цахилгаан болон тоног төхөөрөмж /хөөлгөгч, мөсний машин, хөргөгч, зуурагч машин, шарах шүүгээ/-ийн электроник талыг хариуцан ажиллах Шаардлагатай схем унших, чип болон анхан шатны цахилгаан хэрэгсэлийн тохиргоо хийх, засварлах Тоног төхөөрөмжийн засвар үйлчилгээний түүхийг хөтлөх	Электрон, инженер, засварчин чиглэлээр их сургууль болон МСҮТөв, курс, сургалтын аль нэгийг төгссөн Электроник засварын чиглэлээр 1-с дээш жилийн туршлагатай Засвар үйлчилгээний үнэмлэхтэй бол давуу талтай Электрон төхөөрмжүүдийн талаар мэдлэгтэй, техник сэтгэлгээ сайтай Цахилгааны гэмтэл, засварыг өөрийн хэмжээнд хийх боломжтой бол давуу талтай болно Ажлын хариуцлагатай, эерэг хандлагатай, багаар ажиллах чадвартай 45 хүртэлх насны, хорт зуршилгүй, эрэгтэй	Хаяг: БГД 7-р хороо /Модны 2-ын зам. Гэмтэл талруугаа замын урд Монбейкери нэрийн дэлгүүр. Утас: 99088046 Салбар, чиглэл: Манай компани нь талх, нарийн боов хүнсний чиглэлийн анхдагч компани бөгөөд бид таныг БАЙНГИЙН ТОГТВОРТОЙ ажлын байранд таныг УРЬЖ байна. Давуу талууд: Унаа, хоол, илүү цагийн мөнгө, нэмэлт урамшууллыг сар бүр тооцон олгоно. Бүрдүүлэх материал: 1% цээж зураг Мэргэжлийн үнэмлэх/дипломны хуулбар	75759090, 94999200	None	2022-03-23 16:11
Автомашины засвар үйлчилгээ	Автын цахилгаанчин	https://www.zangia.mn/job/_6utpcsc025	Монгол Майнинг энд Эксплорэйшн ХХК	Автын цахилгаанчин	Мэргэжилтэн	Ээлжийн	1,500,000	1,800,000		Төв аймаг		Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, ХУД 15 хороо, Зайсангийн гудамж, Гэгээнтэн оффис 13 давхар, 1302 тоот, hr@mme.mn	Ажлын байрны тодорхойлолтод заагдсан чиг үүргийн дагуу	- Мэргэжлээрээ их дээд сургууль МСҮТ төгссөн байх - Хүнд машин механизмын мэдлэгтэй байх - Техникийн цахилгааны схем унших чадвартай байх - Хүнд даацын техникийн цахилгааны гэмтлийг хурдан шуурхай олж засах чадвартай байх - Мэргэжлээрээ 3-с дээш жил ажилласан туршлагатай байх - Хөдөө орон нутагт тогтвор суурьшилтай ажиллах	- Тус ажлын байр нь Өмнөговь аймгийн Цогтцэций сум "Эрдэнэс Тавантолгой" уурхайд ажиллана. - Анкет бөглөхдөө цээж зураг, мэргэжлийн үнэмлэх сертификат хавсаргана. - Холбоо барих утас: 7000-22-00	70002200	None	2022-03-23 17:46
Автомашины засвар үйлчилгээ	Автын цахилгаанчин	https://www.zangia.mn/job/_eczkib9s3z	Юнайтед Белаз Машинери	Хүнд машин механизмын цахилгаанчин 14/14	Дунд шатны удирдлага	Ээлжийн	1,200,000	1,500,000		Улаанбаатар хот		Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1-р хороо, Чингисийн өргөн чөлөө, Баянгол зочид буудлын урд Ландмарк оффис, 8 давхар, зүүн гар талын жигүүр	- Белазын техникийн үйлчилгээ засвар хийж гүйцэтгэх, техникийн цахилгааны гэмтлийг засварлах, - Ажлын байрны тодорхойлолтын дагуу бусад ажил үүргийг гүйцэтгэх	-Хүчний (цахилгаан) машин, цахилгаан хөдөлгүүр, өндөр хүчдэлийн / бага хүчдэлийн сүлжээ, электроник мэргэжлээр их дээд сургууль төгссөн, -Ажлын туршлагатай, -Холбогдох мэргэжлийн программ ашиглах чадвартай, -Хүнд механизмын зохих мэдлэгтэй байх, схем унших чадвартай.	-Нийгмийн даатгалын шимтгэл тасралтгүй төлдөг, тайлагнадаг, зөрчилгүй компани болно, -B, C, D ангиллын жолооны үнэмлэх бол давуу тал болно. анкетаа - руу явуулна уу.	99133019	None	2022-03-21 12:37
Автомашины засвар үйлчилгээ	Автын цахилгаанчин	https://www.zangia.mn/job/_4wrsfv9ebd	МАК Цемент ХХК	Автын цахилгаанчин	None	Ээлжийн	1,000,000	1,200,000		Дорноговь аймаг		Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, I хороо, XIX хороолол Чингисийн өргөн чөлөө, "Монголын Алт" МАК ХХК-ийн төв байр-44 Улаанбаатар хот 17030, Ш/х-66	Үйлдвэр, уурхайн цахилгаан машин механизм, техник, тоног төхөөрөмжийн найдвартай, жигд ажиллагааг хангах Автотехникүүдийн цахилгаан тоног төхөөрөмжийн үзлэг, хяналт, засвар, үйлчилгээний ажлуудыг хийх Цахилгаан техникийн АА-ны заавар, норм дүрмийн дагуу шуурхай ажиллагаа, ажил үүрэг гүйцэтгэх Автотехникүүд, машин мехнизмын цахилгааны гэнэтийн гэмтэл, саатлыг түргэн шуурхай шийдвэрлэх, урьдчилан сэргийлэх ХАБЭА-н дүрэм, журам, нормын дагуу цахилгаан тоног төхөөрөмжийн тохируулга, засвар үйлчилгээ бусад ажил үүргийг гүйцэтгэх Хариуцсан цахилгаан тоноглол, багаж хэрэгслийн бүрэн бүтэн байдалд анхаарч, найдвартай ажиллагааг хангах.	Автын цахилгааны тусгай дундаас дээш боловсролын зэрэгтэй Цахилгааны найдвартай ажиллагааны талаар мэдлэг, дадлага, туршлагатай Мэргэжлийн мэдлэг чадвар сайтай, мэргэжлийн үнэмлэхтэй Багаар хамтран ажиллах чадвартай Хувийн зохион байгуулалт сайтай Хөдөө орон нутагт ээлжийн хуваарийн дагуу ажиллах боломжтой байх.		95108855	None	2022-03-19 17:01
Автомашины засвар үйлчилгээ	Автын цахилгаанчин	https://www.zangia.mn/job/_4x6qq3z6xr	Моннис Групп	Автын цахилгаанчин МОННИС МОТОРС ХХК	Мэргэжилтэн	None	1,200,000	1,500,000		Улаанбаатар хот		Монгол улс, Улаанбаатар хот, Моннис барилга 7 давхар, Дөрвөн улирлын цэцэрлэг, Хан-Уул дүүрэг, 15-р хороо, Улаанбаатар хот 17011, Монгол улс	Рено брендийн автомашины цахилгаан засварыг хариуцсан ажиллах	Автын цахилгааны чиглэлээр их дууд сургууль төгссөн Энэ чиглэлээр олон жил ажилласан туршлагатай бол давуу тал Орос хэлний ахисан түвшний мэдлэгтэй байх		70146885	None	2022-03-10 09:15
